ID,NDVI,NDRE,E,N
109,0.1330627,0.0728834,336456.295,4451902.229
110,-0.1009235,0.0608828,336461.295,4451902.229
111,-0.0746015,0.0454875,336466.295,4451902.229
112,0.1128815,0.0897009,336471.295,4451902.229
113,-0.0160861,0.0515992,336481.295,4451902.229
114,-0.052524,0.0632792,336496.295,4451902.229
115,-0.1107422,0.0348617,336511.295,4451902.229
116,-0.088606,0.0368463,336516.295,4451902.229
117,-0.1048946,0.0581283,336521.295,4451902.229
118,-0.1118257,0.0423605,336531.295,4451902.229
119,-0.1303162,0.0656205,336536.295,4451902.229
120,0.0528106,0.0758234,336541.295,4451902.229
121,0.0732463,0.0865005,336546.295,4451902.229
122,0.1270886,0.0825269,336556.295,4451902.229
123,0.024609,0.0458752,336561.295,4451902.229
124,-0.1105989,0.0436553,336361.295,4451897.229
125,-0.0861321,0.0657348,336366.295,4451897.229
126,-0.0883443,0.051136,336371.295,4451897.229
127,-0.1015353,0.0584017,336386.295,4451897.229
128,-0.0048875,0.0538659,336391.295,4451897.229
129,-0.0698368,0.0322298,336396.295,4451897.229
130,-0.1390026,0.0859118,336401.295,4451897.229
131,-0.0814854,0.073491,336411.295,4451897.229
132,-0.1056208,0.0838481,336416.295,4451897.229
133,-0.0028301,0.0603959,336426.295,4451897.229
134,-0.0896447,0.0981743,336436.295,4451897.229
135,-0.1111368,0.0527939,336441.295,4451897.229
136,-0.0823332,0.0776297,336446.295,4451897.229
137,0.0381731,0.0652184,336456.295,4451897.229
138,-0.1057127,0.0953035,336461.295,4451897.229
139,-0.0622092,0.0652585,336466.295,4451897.229
140,-0.077384,0.0552208,336471.295,4451897.229
141,-0.0429505,0.067433,336476.295,4451897.229
142,-0.0581567,0.0452954,336481.295,4451897.229
143,0.0710678,0.0670097,336486.295,4451897.229
144,-0.0834394,0.0473347,336491.295,4451897.229
145,-0.041785,0.0669748,336501.295,4451897.229
146,-0.1323234,0.0206745,336506.295,4451897.229
147,-0.0860583,0.0451742,336511.295,4451897.229
148,-0.0790394,0.0444382,336516.295,4451897.229
149,-0.0030854,0.0813769,336521.295,4451897.229
150,-0.0017917,0.048353,336526.295,4451897.229
151,-0.009293,0.065604,336531.295,4451897.229
152,-0.0986935,0.0577006,336536.295,4451897.229
153,-0.0585028,0.0266065,336541.295,4451897.229
154,0.1327966,0.0574175,336546.295,4451897.229
155,-0.0637255,0.0528888,336551.295,4451897.229
156,-0.0581412,0.0850937,336561.295,4451897.229
157,0.0879395,0.0755894,336566.295,4451897.229
158,-0.080184,0.0461773,336571.295,4451897.229
159,0.0770474,0.0875588,336576.295,4451897.229
160,-0.131758,0.0464306,336581.295,4451897.229
161,0.057167,0.057855,336586.295,4451897.229
162,-0.0574642,0.0285187,336366.295,4451892.229
163,-0.1113455,0.0680452,336371.295,4451892.229
164,0.0001861,0.0556047,336376.295,4451892.229
165,0.0232945,0.0552024,336381.295,4451892.229
166,0.0126122,0.0547935,336386.295,4451892.229
167,-0.0025917,0.067061,336391.295,4451892.229
168,-0.0845753,0.0429466,336396.295,4451892.229
169,-0.0244273,0.0715666,336401.295,4451892.229
170,-0.1395281,0.0658846,336406.295,4451892.229
171,-0.0471055,0.0638673,336411.295,4451892.229
172,-0.1201325,0.0954276,336416.295,4451892.229
173,-0.0762922,0.0692203,336421.295,4451892.229
174,-0.0788995,0.0614887,336426.295,4451892.229
175,-0.0976518,0.0440319,336431.295,4451892.229
176,-0.0014127,0.0675901,336456.295,4451892.229
177,0.0215074,0.0652123,336461.295,4451892.229
178,-0.0414397,0.0757346,336466.295,4451892.229
179,-0.0857225,0.0340233,336476.295,4451892.229
180,-0.1062171,0.0462593,336481.295,4451892.229
181,0.0566421,0.0430407,336486.295,4451892.229
182,-0.0942279,0.0617667,336491.295,4451892.229
183,0.1216189,0.0501915,336496.295,4451892.229
184,-0.0565771,0.0478592,336501.295,4451892.229
185,0.1274576,0.0545607,336506.295,4451892.229
186,-0.0401598,0.0408436,336511.295,4451892.229
187,-0.0398404,0.0541223,336516.295,4451892.229
188,-0.1055819,0.0678278,336521.295,4451892.229
189,0.0645932,0.0902265,336526.295,4451892.229
190,-0.1125301,0.0432477,336531.295,4451892.229
191,0.1651077,0.1147112,336536.295,4451892.229
192,-0.0001059,0.0878668,336541.295,4451892.229
193,0.1514604,0.0802904,336546.295,4451892.229
194,-0.0097538,0.0886318,336551.295,4451892.229
195,-0.0253935,0.0831108,336561.295,4451892.229
196,-0.0603997,0.0360116,336566.295,4451892.229
197,-0.0027303,0.0725354,336571.295,4451892.229
198,0.2050256,0.0895725,336576.295,4451892.229
199,0.1425128,0.0892075,336581.295,4451892.229
200,-0.1165836,0.0488945,336586.295,4451892.229
201,-0.1321025,0.0335751,336366.295,4451887.229
202,-0.1178869,0.046633,336376.295,4451887.229
203,0.132673,0.0859832,336386.295,4451887.229
204,-0.0725648,0.0795312,336391.295,4451887.229
205,-0.0881065,0.0604706,336396.295,4451887.229
206,0.055605,0.0872248,336401.295,4451887.229
207,-0.1151357,0.0863501,336406.295,4451887.229
208,0.0261956,0.0678886,336411.295,4451887.229
209,-0.1061155,0.0710231,336416.295,4451887.229
210,-0.1029746,0.0881765,336421.295,4451887.229
211,0.0943252,0.0779103,336426.295,4451887.229
212,-0.1332604,0.0802396,336431.295,4451887.229
213,-0.0047365,0.0695727,336436.295,4451887.229
214,0.0425202,0.0808099,336441.295,4451887.229
215,0.0682792,0.1024772,336446.295,4451887.229
216,0.0319458,0.0791347,336461.295,4451887.229
217,0.1391132,0.0690647,336466.295,4451887.229
218,0.031569,0.0730627,336471.295,4451887.229
219,-0.0649816,0.0751666,336476.295,4451887.229
220,0.0994742,0.068265,336486.295,4451887.229
221,0.0696175,0.0404178,336491.295,4451887.229
222,0.0078081,0.0422902,336496.295,4451887.229
223,-0.0403566,0.0454996,336501.295,4451887.229
224,-0.1164522,0.0422576,336506.295,4451887.229
225,0.1858354,0.061878,336511.295,4451887.229
226,-0.0717889,0.0718576,336516.295,4451887.229
227,0.0799064,0.0354122,336521.295,4451887.229
228,0.0019428,0.049345,336526.295,4451887.229
229,-0.1213408,0.0131575,336536.295,4451887.229
230,-0.0085711,0.0542827,336541.295,4451887.229
231,-0.032501,0.0759186,336546.295,4451887.229
232,0.0102727,0.0833166,336551.295,4451887.229
233,-0.14191,0.0747909,336556.295,4451887.229
234,-0.0556154,0.013974,336561.295,4451887.229
235,-0.0483516,0.0497704,336566.295,4451887.229
236,-0.078321,0.0427388,336571.295,4451887.229
237,0.066791,0.0709533,336576.295,4451887.229
238,-0.0062815,0.0397826,336581.295,4451887.229
239,0.0584638,0.064668,336591.295,4451887.229
240,-0.0286204,0.0360767,336371.295,4451882.229
